FIPS,LCSPP21
37165,415.54
37169,489.7
37171,489.7
37175,526.58
37183,410.46
37197,489.7
38001,393.2
38003,393.2
38005,393.2
38007,393.2
38009,393.2
38011,393.2
38013,393.2
38015,321.2
38017,321.2
38019,393.2
38021,393.2
38023,393.2
38025,393.2
38027,393.2
38029,393.2
38031,393.2
38033,393.2
38035,386.9
38037,393.2
38039,393.2
38041,393.2
38043,393.2
38045,393.2
38047,393.2
38049,393.2
38051,393.2
38053,393.2
38055,393.2
38057,393.2
38059,321.2
38061,393.2
38063,393.2
38065,321.2
38067,393.2
38069,393.2
38071,393.2
38073,393.2
38075,393.2
38077,393.2
38079,393.2
38081,393.2
38083,393.2
38085,393.2
38087,393.2
38089,393.2
38091,393.2
38093,393.2
38095,393.2
38097,321.2
38099,393.2
38101,393.2
38103,393.2
38105,393.2
39001,338.81
39003,356.2
39005,355.66
39007,311.11
39009,370.36
39011,356.2
39013,365.82
39015,338.81
39017,338.5
39019,335.59
39021,343.33
39023,343.33
39025,338.81
39027,338.81
39029,353.2
39031,365.82
39033,403.32
39035,311.11
39037,343.33
39039,346.92
39041,367.05
39043,360.06
39045,367.05
39047,367.05
39049,367.05
39051,346.92
39053,425.4
39055,338.23
39057,343.33
39059,365.82
39061,338.5
39063,356.2
39065,365.53
39067,365.82
39069,346.92
39071,338.81
39073,399.44
39075,352.83
39077,360.06
39079,425.4
39081,365.82
39083,367.05
39085,311.11
39087,357.5
39089,367.05
39091,367.05
39093,311.11
39095,346.92
39097,367.05
39099,335.99
39101,428.5
39103,323.67
39105,399.44
39107,389.37
39109,343.33
39111,374.86
39113,343.33
39115,365.82
39117,382.97
39119,365.82
39121,374.86
39123,360.06
39125,356.2
39127,365.82
39129,367.05
39131,357.5
39133,323.67
39135,343.33
39137,356.2
39139,403.32
39141,357.5
39143,360.06
39145,357.5
39147,360.06
39149,343.33
39151,335.59
39153,323.67
39155,335.99
39157,374.86
39159,367.05
39161,356.2
39163,425.4
39165,338.5
39167,399.44
39169,352.83
39171,351.01
39173,346.92
39175,360.06
40001,475.85
40005,475.85
40009,475.85
40011,381.53
40017,406.34
40019,381.53
40021,475.85
40027,431.36
40031,481.77
40033,475.85
40035,410.76
40037,407.16
40041,410.76
40047,475.85
40051,506.79
40055,475.85
40063,410.76
40065,475.85
40067,475.85
40069,381.53
40073,381.53
40081,431.36
40083,406.34
40087,506.79
40091,410.76
